player_id,player,passes,matches,team,role,regret,completion,rel_pts,95% CI,CI excludes 0
30606.0,Edmond Fayçal Tapsoba,1036,24,Bayer Leverkusen,DEF,0.0020121219383591044,0.9691119691119691,0.8,"[-1.5, +2.9]",False
8118.0,Frenkie de Jong,2133,43,Barcelona,CM/DM,0.002361219693414152,0.9657759024847632,0.8,"[-0.4, +2.2]",False
8519.0,Dayotchanculle Upamecano,503,13,France,DEF,0.0017392496765827436,0.9821073558648111,0.8,"[-3.6, +4.9]",False
10252.0,Alex Greenwood,629,17,England Women's,DEF,0.001955330147896816,0.9761526232114467,0.7,"[-3.6, +4.5]",False
27133.0,Odilon Kossonou,742,20,Bayer Leverkusen,DEF,0.0021595754278047508,0.9514824797843666,0.5,"[-2.0, +2.8]",False
49337.0,Josip Stanišić,598,20,Bayer Leverkusen,DEF,0.002305624181655041,0.9615384615384616,0.5,"[-2.1, +3.5]",False
30486.0,Pedro González López,1654,48,Barcelona,CM/DM,0.0032274943499284578,0.9461910519951633,0.5,"[-1.1, +2.1]",False
28268.0,Exequiel Alejandro Palacios,1247,25,Bayer Leverkusen,CM/DM,0.0030796668562005094,0.9599037690457097,0.4,"[-1.4, +2.1]",False
3009.0,Kylian Mbappé Lottin,1498,67,Paris Saint-Germain,ATT,0.004069205010701247,0.8938584779706275,0.4,"[-1.1, +1.9]",False
3436.0,Idrissa Gana Gueye,795,23,Paris Saint-Germain,CM/DM,0.002721885827185302,0.969811320754717,0.4,"[-2.4, +3.2]",False
8804.0,Jonas Hofmann,795,30,Bayer Leverkusen,ATT,0.004393687060245148,0.9144654088050315,0.3,"[-2.0, +2.8]",False
43728.0,Óscar Mingueza García,968,24,Barcelona,DEF,0.002013224091499601,0.9772727272727273,0.2,"[-2.6, +3.4]",False
5206.0,Rúben Santos Gato Alves Dias,575,12,Portugal,DEF,0.0016094917164208536,0.991304347826087,0.2,"[-4.5, +5.3]",False
5245.0,Achraf Hakimi Mouh,1614,50,Paris Saint-Germain,DEF,0.0031355726064972124,0.9318463444857497,0.1,"[-1.5, +1.8]",False
3167.0,Antonio Rüdiger,579,12,Germany,DEF,0.001657739495894414,0.9792746113989638,-0.1,"[-2.7, +1.8]",False
5487.0,Antoine Griezmann,1161,49,Barcelona,ATT,0.003898316946212348,0.9310938845822567,-0.1,"[-1.7, +1.5]",False
3205.0,Kyle Walker,565,16,England,DEF,0.0023551672531534457,0.952212389380531,-0.2,"[-2.6, +2.2]",False
5463.0,Luka Modrić,627,16,Croatia,CM/DM,0.002722173373499841,0.9521531100478469,-0.2,"[-2.9, +3.6]",False
3166.0,Marco Verratti,2636,47,Paris Saint-Germain,CM/DM,0.002876573381107863,0.966236722306525,-0.2,"[-1.4, +1.0]",False
34639.0,Vitor Machado Ferreira,1346,36,Paris Saint-Germain,CM/DM,0.002962553714674794,0.9658246656760773,-0.4,"[-2.0, +1.0]",False
4372.0,Marcos Aoás Corrêa,2306,55,Paris Saint-Germain,DEF,0.001991627847195154,0.9917606244579358,-0.4,"[-2.0, +1.3]",False
5477.0,Ousmane Dembélé,735,39,Barcelona,ATT,0.0041841349927030334,0.8952380952380953,-0.4,"[-2.4, +1.5]",False
5579.0,Joshua Kimmich,550,14,Germany,DEF,0.0028894997420453447,0.9527272727272728,-0.5,"[-2.8, +2.0]",False
5213.0,Gerard Piqué Bernabéu,825,18,Barcelona,DEF,0.0017455697144637846,0.9927272727272727,-0.5,"[-2.7, +2.1]",False
6655.0,Fabián Ruiz Peña,1258,31,Paris Saint-Germain,CM/DM,0.0029853201772332915,0.9618441971383148,-0.5,"[-3.0, +1.4]",False
9195.0,Robert Andrich,1033,30,Bayer Leverkusen,CM/DM,0.0027868096866977806,0.9564375605033882,-0.6,"[-2.6, +2.0]",False
4320.0,Neymar da Silva Santos Junior,1294,36,Paris Saint-Germain,ATT,0.0034510398850462103,0.9026275115919629,-0.6,"[-2.6, +1.4]",False
4353.0,Aymeric Laporte,1053,15,Spain,DEF,0.0018001291710230372,0.9819563152896487,-0.8,"[-3.7, +2.4]",False
10336.0,Alejandro Grimaldo García,964,32,Bayer Leverkusen,DEF,0.0031515962495759936,0.921161825726141,-0.8,"[-3.4, +1.5]",False
46639.0,Ona Batlle Pascual,646,16,Spain Women's,DEF,0.003034148779603641,0.9520123839009288,-0.8,"[-3.6, +2.6]",False
15284.0,Aitana Bonmati Conca,577,17,Spain Women's,CM/DM,0.003980174777189291,0.9566724436741768,-0.9,"[-3.0, +1.2]",False
2999.0,Presnel Kimpembe,1254,33,Paris Saint-Germain,DEF,0.001859486994155835,0.9872408293460925,-1.3,"[-4.1, +1.1]",False
41092.0,Nuno Mendes,1139,45,Paris Saint-Germain,DEF,0.0025908122364956005,0.9385425812115891,-1.8,"[-4.3, +0.7]",False
5469.0,Marcelo Brozović,576,13,Croatia,CM/DM,0.002808236590020018,0.9618055555555556,-1.9,"[-3.9, +0.2]",False
5211.0,Jordi Alba Ramos,2259,46,Barcelona,DEF,0.0026896964445488306,0.9291722000885347,-2.2,"[-3.9, -0.3]",True
3500.0,Granit Xhaka,2436,43,Bayer Leverkusen,CM/DM,0.0033497075271273825,0.965927750410509,-2.3,"[-3.7, -0.8]",True
40724.0,Florian Wirtz,1076,34,Bayer Leverkusen,ATT,0.0041737760589581055,0.9033457249070632,-2.3,"[-3.9, -0.6]",True
10481.0,Aurélien Djani Tchouaméni,575,13,France,CM/DM,0.00246290901482289,0.9773913043478261,-2.4,"[-6.7, +1.8]",False
5201.0,Sergio Ramos García,1598,37,Paris Saint-Germain,DEF,0.002032301525985835,0.9849812265331664,-2.4,"[-4.2, -0.3]",True
21881.0,Sergino Dest,824,32,Barcelona,DEF,0.0028655911140861834,0.9514563106796117,-2.5,"[-5.7, +0.2]",False
3570.0,Pierre-Emile Højbjerg,519,13,Denmark,CM/DM,0.0032732256645145643,0.9441233140655106,-2.8,"[-5.8, -0.1]",True
20016.0,Kléper Laveran Lima Ferreira,557,12,Portugal,DEF,0.0016040607495300375,0.9820466786355476,-3.1,"[-7.4, +0.8]",False
10161.0,María Francesca Caldentey Oliver,600,16,Spain Women's,ATT,0.003744003272629927,0.9416666666666667,-3.2,"[-5.8, -0.9]",True
6826.0,Clément Lenglet,1478,33,Barcelona,DEF,0.0018517708269337402,0.9769959404600812,-3.6,"[-5.8, -1.8]",True
38004.0,Piero Martín Hincapié Reyna,853,25,Bayer Leverkusen,DEF,0.0018581155481684577,0.9742086752637749,-5.2,"[-8.9, -1.1]",True
